level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
0,M00138,ENC-M [M0 Use],1.00,,,True
1,M00126,ENC - Mechanical Components Box,1.00,M00138,ENC-M [M0 Use],True
2,M00127,ENC - Miscellaneous Components Bag,1.00,M00126,ENC - Mechanical Components Box,True
3,M00064,Angle Bracket Simple 20x20 M5,10.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00066,Angle Connection Plate 20x60x3mm,14.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00067,Angle Long Angle Bracket 2040 M5,8.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00414,Connection Plate 20x80x3mm,4.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00413,Connection Plate 20x60x3mm,1.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00544,Handle 118mm,4.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00612,Internal Assembly 2020 3-Way Connector,8.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00746,Rubber foot M4,8.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00109,ENC - Alu Profile Rubber Seal 3mm - 2m80,1.00,M00127,ENC - Miscellaneous Components Bag,True
4,M00046,Alu Profile Rubber Seal 3mm - 6m,0.50,M00109,ENC - Alu Profile Rubber Seal 3mm - 2m80,False
3,M00378,Cable Chain TP15 15mm End connector (female),2.00,M00127,ENC - Miscellaneous Components Bag,False
3,M00379,Cable Chain TP15 15mm End connector (male),2.00,M00127,ENC - Miscellaneous Components Bag,False
2,M00111,ENC - DIN7991 Black Screw Bag - M4x6,1.00,M00126,ENC - Mechanical Components Box,True
3,M00422,DIN7991 M4X6 Black screw,4.00,M00111,ENC - DIN7991 Black Screw Bag - M4x6,False
2,M00112,ENC - DIN9021 Washer Bag - M5x15,1.00,M00126,ENC - Mechanical Components Box,True
3,M00424,DIN9021 Washer M5x15,37.00,M00112,ENC - DIN9021 Washer Bag - M5x15,False
2,M00113,ENC - DIN912 Black Screw Bag - M5x10,1.00,M00126,ENC - Mechanical Components Box,True
3,M00434,DIN912 M5x10 Black screw,8.00,M00113,ENC - DIN912 Black Screw Bag - M5x10,False
2,M00114,ENC - DIN912 Black Screw Bag - M5x20,1.00,M00126,ENC - Mechanical Components Box,True
3,M01731,DIN912 M5x20 Black screw,3.00,M00114,ENC - DIN912 Black Screw Bag - M5x20,False
2,M00115,ENC - DIN912 Black Screw Bag - M5x30,1.00,M00126,ENC - Mechanical Components Box,True
